SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
SP;3522109;ITANHAEM;01692;F14042;ESCOLA MUNICPAL PROFESSORA MARIA GRACIETTE DIAS
SP;3522208;ITAPECERICA DA SERRA;01662;F09615;EE SOPHIA MARIA JANUARIA AMARAL
SP;3522208;ITAPECERICA DA SERRA;01663;F09799;EE ASA BRANCA DA SERRA
SP;3522307;ITAPETININGA;01620;F08419;EE PROF PEIXOTO GOMIDE
SP;3522307;ITAPETININGA;01621;F08423;EE PROF SEBASTIAO VILLAÇA
SP;3522307;ITAPETININGA;01622;F08421;EE PROF ELISIÁRIO MARTINS DE MELLO
SP;3522406;ITAPEVA;01625;F09751;SOCIEDADE CULTURAL E EDUCACIONAL DE ITAPEVA  SS LTDA
SP;3522505;ITAPEVI;01647;F14498;CEMEB BEMVINDO MOREIRA NERY
SP;3522505;ITAPEVI;01648;F09039;EE PADRE ROMEO MECCA
SP;3523107;ITAQUAQUECETUBA;01705;F10864;EE HOMERO FERNANDO MILANO
SP;3523107;ITAQUAQUECETUBA;01706;F10795;EE PROFESSORA ODILA LEITE DOS SANTOS
SP;3523107;ITAQUAQUECETUBA;01707;F13046;EE PROFESSORA ZILDA BRACONI AMADOR
SP;3523404;ITATIBA;01551;F14669;EE MANUEL EUCLIDES DE BRITO
SP;3523404;ITATIBA;01552;F10183;EE PROFESSOR ANTONIO DUTRA
SP;3523909;ITU;01626;F13734;EE PROFESSORA ROSA MARIA MADEIRA MARQUES FREIRE
SP;3524402;JACAREI;01598;F09689;EMEF BARAO DE JACAREÍ
SP;3524402;JACAREI;01599;F14574;EE CORONEL CARLOS PORTO
SP;3525003;JANDIRA;01649;F15222;EE ALFERES HENRIQUE SAMMARTINO
SP;3525300;JAU;01512;F13551;EE DR. DOMINGOS DE MAGALHAES
SP;3525300;JAU;01513;F09274;EE DR. TOLENTINO MIRAGLIA
SP;3525904;JUNDIAI;01553;F09626;EE ADIB MIGUEL HADDAD
SP;3525904;JUNDIAI;01554;F08499;EE BISPO DOM GABRIEL PAULINO BUENO COUTO
SP;3525904;JUNDIAI;01555;F13037;EE DIOGENES DUARTE PAES
SP;3526704;LEME;01558;F09367;EE NEWTON PRADO
SP;3526902;LIMEIRA;01559;F14329;EE JARDIM PAINEIRAS
SP;3526902;LIMEIRA;01560;F13257;EE PROF ANTÔNIO PERCHES LORDELLO
SP;3527207;LORENA;01606;F12920;CIEJAP MILTON BALLERINI
SP;3527207;LORENA;01607;F15232;EE PROFESSOR LUIZ DE CASTRO PINTO
SP;3529005;MARILIA;01515;F09070;EE GABRIEL MONTEIRO DA SILVA
SP;3529005;MARILIA;01516;F15120;EE PROFa SYLVIA RIBEIRO DE CARVALHO
SP;3529401;MAUA;01671;F09540;EE OLAVO HANSEN
SP;3529401;MAUA;01672;F09532;EE PADRE AFONSO PASCHOTTE
SP;3530201;MIRANTE DO PARANAPANEMA;01518;F09442;EM PROFESSORA ZENOBIA GREGORIO CAMPELO CABRAL
SP;3530607;MOGI DAS CRUZES;01708;F10411;EE PROFESSOR FIRMINO LADEIRA
SP;3530607;MOGI DAS CRUZES;01709;F10389;EE HISTORIADOR ISAAC GRINBERG
SP;3530607;MOGI DAS CRUZES;01710;F10413;EE DR DEODATO WERTHEIMER
