SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
SP;3500303;AGUAI;;P10417;PPL - CENTRO DE DETENCAO PROVISORIA DE AGUAI
SP;3534708;OURINHOS;;P1042;PPL - CENTRO DE RESSOCIALIZACAO DE OURINHOS
BA;2927408;SALVADOR;;P10422;PPL - ESCRITORIO SOACIAL
SP;3552403;SUMARE;;P1045;PPL - CENTRO DE RESSOCIALIZACAO MASCULINO DE SUMARE  SEMIABERTO  ESPACO I
AP;1600303;MACAPA;;P10455;PPL - UNIDADE PENAL POLICIAL JOSE EDER UPPJE
SP;3514403;DRACENA;;P1046;PPL - PENITENCIARIA DE DRACENA  ASP ADRIANO APARECIDO DE PIERI
AP;1600303;MACAPA;;P10491;PPL - CENTRO DE CUSTODIA NOVO HORIZONTE CCNH
SP;3516200;FRANCA;;P1051;PPL - PENITENCIARIA DE FRANCA
SP;3516408;FRANCO DA ROCHA;;P1053;PPL - HCTP I DE FRANCO DA ROCHA  PROF ANDRE TEIXEIRA LIMA   ESPACO MASCULINO
SP;3511409;CERQUEIRA CESAR;;P1054;PPL - CDP DE CERQUEIRA CESAR
SP;3504701;BALBINOS;;P1055;PPL - PENITENCIARIA I  RODRIGO DOS SANTOS FREITAS  DE BALBINOS
SP;3521002;IPERO;;P1057;PPL - PENITENCIARIA DE IPERO  FECHADO  ESPACO I
PA;1506807;SANTAREM;;P10574;PPL - ESCRITORIO SOCIAL DE SANTAREM
SP;3549904;SAO JOSE DOS CAMPOS;;P1058;PPL - CR FEMININO DE SAO JOSE DOS CAMPOS
RN;2403251;PARNAMIRIM;;P10584;PPL - CENTRAL DE RECEBIMENTO E TRIAGEM
PR;4106902;CURITIBA;;P106;PPL - PATRONATO PENITENCIARIO DO PARANA
SP;3550308;SAO PAULO;;P1060;PPL - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE JUQUIA  CI
SP;3550308;SAO PAULO;;P1062;PPL - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE RIO PARANA  CI
SP;3527108;LINS;;P1064;PPL - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE VITORIA REGIACI
SP;3511409;CERQUEIRA CESAR;;P10641;PPL - CDP DE CERQUEIRA CESAR  ESPACO II
PR;4117909;PALOTINA;;P10654;PPL - CADEIA P PALOTINA
MG;3106200;BELO HORIZONTE;;P1068;PPL - CENTRO SOCIOEDUCATIVO HORTO
RJ;3304557;RIO DE JANEIRO;;P1069;PPL - CENTRO DE SOCIOEDUCACAO DOM BOSCO
PR;4109401;GUARAPUAVA;;P107;PPL - PENITENCIARIA INDUSTRIAL DE GUARAPUAVA
PR;4109401;GUARAPUAVA;;P107;PPL - PENITENCIARIA INDUSTRIAL DE GUARAPUAVA
RJ;3300456;BELFORD ROXO;;P1070;PPL - CAI BELFORD ROXO
SP;3518800;GUARULHOS;;P1072;PPL - CENTRO DE DETENCAO PROVISORIA 2 DE GUARULHOS
SP;3506003;BAURU;;P1073;PPL - CENTRO DE PROGRESSAO PENITENCIARIA  PROF NOE DE AZEVEDO  DE BAURU III
SP;3534401;OSASCO;;P1074;PPL - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE  OSASCO II  CI
PR;4119608;PITANGA;;P10744;PPL - CADEIA P DE PITANGA
RS;4317103;SANT ANA DO LIVRAMENTO;;P10754;PPL - INSTITUTO PENAL DE MONITORACAO ELETRONICA 6A REGIAO
SP;3518602;GUARIBA;;P10755;PPL - CPP DE GUARIBA  ESPACO IV
SP;3518800;GUARULHOS;;P10756;PPL - PENITENCIARIA II DE GUARULHOS  ADRIANO MARREY   ALA DE TRABALHO
SP;3550308;SAO PAULO;;P1076;PPL - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE PIRITUBA  CI
SP;3552205;SOROCABA;;P1078;PPL - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE SOROCABA  I  CI
MG;3118601;CONTAGEM;;P10783;PPL - UNIDADE MILITAR PRISIONAL 39O BPM
SC;4216206;SAO FRANCISCO DO SUL;;P108;PPL - UNIDADE PRISIONAL AVANCADA DE SAO FRANCISCO DE SUL
SC;4216206;SAO FRANCISCO DO SUL;;P108;PPL - UNIDADE PRISIONAL AVANCADA DE SAO FRANCISCO DE SUL
SP;3511409;CERQUEIRA CESAR;;P1080;PPL - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE ANITA GARIBALDI CI
MG;3106200;BELO HORIZONTE;;P10803;PPL - UNIDADE MILITAR PRISIONAL 41O BPM
SP;3550308;SAO PAULO;;P1082;PPL - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE SAO PAULOCI
SP;3550308;SAO PAULO;;P10828;PPL - PENITENCIARIA DA CAPITAL  SEMIABERTO
SP;3549904;SAO JOSE DOS CAMPOS;;P1084;PPL - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE TAMOIOS  CI
SP;3518800;GUARULHOS;;P1085;PPL - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE   GUAYI
SP;3527207;LORENA;;P1086;PPL - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE LORENA   CI
SP;3550308;SAO PAULO;;P1087;PPL - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE TOPAZIO
SC;4204608;CRICIUMA;;P109;PPL - PRESIDIO REGIONAL DE CRICIUMA
PR;4105003;CATANDUVAS;;P1092;PPL - PENITENCIARIA FEDERAL EM CATANDUVASPR
PR;4105003;CATANDUVAS;;P1092;PPL - PENITENCIARIA FEDERAL EM CATANDUVASPR
MS;5003702;DOURADOS;;P1095;PPL - ESTABELECIMENTO PENAL DE REGIME SEMIABERTO ABERTO E ASSISTENCIA AOS ALBERGADOS DE DOURADOS
