SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
RS;4304408;CANELA;51076;;ESCOLA ESTADUAL DE ENSINO MÉDIO ADOLFO SEIBT
RS;4306056;CRISTAL;51074;;ESCOLA ESTADUAL ENSINO FUNDAMENTAL DARCY PEIXOTO SILVEIRA (CIEP)
RS;4321501;TORRES;51107;;ULBRA TORRES
RS;4321600;TRAMANDAI;51108;;E. E. E. F ALMIRANTE TAMANDARÉ
ES;3203304;MANTENOPOLIS;51039;;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO JOB PIMENTEL
RS;4305108;CAXIAS DO SUL;51078;;UNIFTEC
RS;4306502;DOM FELICIANO;51086;;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL CATULINO PEREIRA DA ROSA
GO;5208806;GOIANIRA;51006;;COLÉGIO ESTADUAL SÃO GERALDO
ES;3200102;AFONSO CLAUDIO;51051;;CEEFMTI AFONSO CLÁUDIO
ES;3204559;SANTA MARIA DE JETIBA;51023;;EEEFM GRAÇA ARANHA
RS;4317608;SANTO ANTONIO DA PATRULHA;51106;;ESCOLA ESTADUAL DE ENSINO MÉDIO PROFESSOR CÂNDIDO DE BARROS
BA;2910800;FEIRA DE SANTANA;50724;;UNIFACS - FEIRA DE SANTANA - CAMPUS SANTA MÔNICA
BA;2913606;ILHEUS;50737;;ESCOLA MUNICIPAL PAULO AMÉRICO DE OLIVEIRA
BA;2913903;IPIAU;50749;;COLÉGIO MUNICIPAL PROFESSORA CELESTINA BITTENCOURT
BA;2921104;MEDEIROS NETO;50761;;GINÁSIO JOÃO XXIII
BA;2903003;BARRA DO MENDES;50687;;COLÉGIO ESTADUAL EDIVALDO MACHADO BOAVENTURA-CEEB
BA;2925758;PRESIDENTE TANCREDO NEVES;50728;;COLÉGIO MUNICIPAL AÉCIO NEVES
PR;4106605;CRUZEIRO DO OESTE;50955;;FACULDADE E COLÉGIO FACO
GO;5218300;POSSE;50962;;CENTRO DE ENSINO EM PERÍODO INTEGRAL ARGEMIRO ANTÔNIO DE ARAÚJO
GO;5200258;AGUAS LINDAS DE GOIAS;50963;;CENTRO DE ENSINO DE PERÍODO INTEGRAL JUSCELINO KUBITSCHEK DE OLIVEIRA
GO;5221858;VALPARAISO DE GOIAS;50970;;ESCOLA MUNICIPAL TANCREDO DE ALMEIDA NEVES - CAIC
GO;5217609;PLANALTINA;50972;;COLÉGIO ESTADUAL DE PLANALTINA
GO;5201306;ANICUNS;50975;;FACULDADE DE ANICUNS
PR;4120606;PRUDENTOPOLIS;50941;;ESCOLA MUNICIPAL CLOTILDE DOS SANTOS GOMES / POLO UAB PRUDENTÓPOLIS
PR;4122503;RONCADOR;50916;;UNICESUMAR
DF;5300108;Brasília;50658;;UNIP
TO;1707009;DIANOPOLIS;50619;;COLÉGIO JOÃO D ABREU
RN;2403103;CURRAIS NOVOS;50631;;E E TRISTÃO DE BARROS
RN;2409407;PAU DOS FERROS;50641;;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA - PAU DOS FERROS
RN;2402600;CEARA-MIRIM;50643;;E. E. INTERVENTOR UBALDO BEZERRA
BA;2925204;POJUCA;50683;;ESCOLA ESTADUAL PADRE JOÃO MONTEZ
PR;4125704;SAO MIGUEL DO IGUACU;50843;;FACULDADE UNIGUAÇU
PR;4126504;SERTANOPOLIS;50878;;COLÉGIO MUNICIPAL LUIZ DELIBERADOR ED. INFANTIL E ENSINO FUNDAMENTAL
PR;4100400;ALMIRANTE TAMANDARE;50889;;CEEBJA AYRTON SENNA DA SILVA
PR;4102109;ASTORGA;50808;;COLÉGIO ESTADUAL GOV. ADOLPHO DE O. FRANCO
PR;4125803;SAO PEDRO DO IVAI;50885;;ESCOLA MUNICIPAL PROFESSORA ALFREDINA FERNANDES GOUVEIA
PR;4123501;SANTA HELENA;50842;;UTFPR - SANTA HELENA
MG;3122306;DIVINOPOLIS;51282;;FACULDADE ANHANGUERA DE DIVINÓPOLIS
MG;3162401;SAO JOAO DA PONTE;51270;;ESCOLA MUNICIPAL PADRE RAFAEL
