SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
SP;3550308;SAO PAULO;60972;G13907;PPL - CASA ITAQUERA - CI - PREDIO: PRINCIPAL
PE;2614709;TACAIMBO;60196;G42658;PPL - PENITENCIARIA DE TACAIMBO - PREDIO: PRINCIPAL
MS;5002704;CAMPO GRANDE;60327;G40140;PPL - ESTABELECIMENTO PENAL JAIR FERREIRA DE CARVALHO - PREDIO: PRINCIPAL
MS;5002704;CAMPO GRANDE;60330;G40170;PPL - PENITENCIARIA FEDERAL EM CAMPO GRANDE - MS - PREDIO: PRINCIPAL
RS;4304606;CANOAS;60466;G40995;PPL - PENITENCIARIA ESTADUAL DE CANOAS II - PECAN II - PREDIO: PRINCIPAL
RJ;3306305;VOLTA REDONDA;60599;G13787;PPL - CADEIA PUBLICA FRANZ DE CASTRO HOLZWARTH - PREDIO: PRINCIPAL
SP;3554805;TREMEMBE;60839;G13944;PPL - PENIT FEM II-A DE TREMEMBE - PREDIO: ESPACO I
SP;3554805;TREMEMBE;60843;G13946;PPL - PENIT II-A TREMEMBE DR JOSE AUGUSTO CESAR SALGADO - PREDIO: PRINCIPAL
TO;1721000;PALMAS;60984;G40020;PPL - CASA DE PRISAO PROVISORIA DE PALMAS - PREDIO: PRINCIPAL
RS;4313409;NOVO HAMBURGO;60470;G40146;PPL - INSTITUTO PENAL DE NOVO HAMBURGO - PREDIO: PRINCIPAL
RS;4319802;SAO VICENTE DO SUL;60477;G41002;PPL - PRESIDIO ESTADUAL DE SAO VICENTE DO SUL - PREDIO: PRINCIPAL
SP;3502101;ANDRADINA;60605;G18454;PPL - PENITENCIARIA DE ANDRADINA - PREDIO: PRINCIPAL
SP;3501400;ALVARO DE CARVALHO;60604;G49153;PPL - PENITENCIARIA DE ALVARO DE CARVALHO VALETIM ALVES - PREDIO: PRINCIPAL
SP;3502101;ANDRADINA;60607;G49115;PPL - PENITENCIARIA DE ANDRADINA FE ESPACO V - PREDIO: PRINCIPAL
SP;3554805;TREMEMBE;60849;G49240;PPL - PENITENCIARIA I DE TREMEMBE TARCIZO LEONCE PINHE - PREDIO: PRINCIPAL
TO;1713304;MIRANORTE;60992;G40942;PPL - CADEIA PUBLICA DE MIRANORTE - PREDIO: PRINCIPAL
RN;2403251;PARNAMIRIM;60213;G40977;PPL - CENTRO DE DETENCAO PROVISORIO DE PARNAMIRIM MASC - PREDIO: PRINCIPAL
RN;2401008;APODI;60215;G40973;PPL - CENTRO DE DETENCAO PROVISORIA DE APODI CPD - PREDIO: PRINCIPAL
MS;5006606;PONTA PORA;60344;G40924;PPL - UNIDADE EDUCACIONAL DE INTERNACAO MITAI - PREDIO: PRINCIPAL
MS;5006606;PONTA PORA;60346;G45798;PPL - PATRONATO PENITENCIARIO ESTADUAL DE PONTA PORA - PREDIO: PRINCIPAL
SC;4202404;BLUMENAU;60480;G16169;PPL - PRESIDIO REGIONAL DE BLUMENAU - PREDIO: PRINCIPAL
SC;4202404;BLUMENAU;60482;G30193;PPL - CASEP BLUMENAU - PREDIO: PRINCIPAL
SP;3530102;MIRANDOPOLIS;60615;G13872;PPL - PENIT MIRANDOPOLIS II ASP LINDOLFO TERCARIOL FILHO - PREDIO: PRINCIPAL
SP;3530102;MIRANDOPOLIS;60616;G49106;PPL - PENITENCIARIA I DE MIRANDOPOLIS NESTOR CANOA - PREDIO: PRINCIPAL
TO;1720978;TALISMA;60997;G40240;PPL - UNIDADE PRISIONAL FEMININA DE TALISMA - PREDIO: PRINCIPAL
SP;3550308;SAO PAULO;60867;G16109;PPL - CASA RIO PARANA - PREDIO: PRINCIPAL
CE;2312908;SOBRAL;60103;G15965;PPL - CADEIA PUBLICA DE SOBRAL - PREDIO: PRINCIPAL
AL;2704302;MACEIO;60221;G27589;PPL - UNIDADE DE INTERNACAO FEMININA - PREDIO: PRINCIPAL
SC;4205407;FLORIANOPOLIS;60492;G16176;PPL - PRESIDIO FEMININO DE FLORIANOPOLIS - PREDIO: PRINCIPAL
SP;3504404;AVANHANDAVA;60621;G13797;PPL - PENIT COMPACTA DE AVANHANDAVA - PREDIO: PRINCIPAL
SP;3511409;CERQUEIRA CESAR;60626;G13816;PPL - CASA JOAO PAULO II - PREDIO: PRINCIPAL
SP;3550308;SAO PAULO;60872;G16106;PPL - CASA BELA VISTA - CI - PREDIO: PRINCIPAL
CE;2312908;SOBRAL;60107;G42938;PPL - UNIDADE DE SEMILIBERDADE DE SOBRAL - PREDIO: PRINCIPAL
CE;2301000;AQUIRAZ;60110;G40968;PPL - CENTRO DE DETENCAO PROVISORIA - PREDIO: PRINCIPAL
AL;2704302;MACEIO;60228;G27592;PPL - UNIDADE DE INTERNACAO MASCULINA EXTENSAO - PREDIO: PRINCIPAL
AL;2704302;MACEIO;60227;G27590;PPL - UNIDADE DE INTERNACAO MASCULINA - PREDIO: PRINCIPAL
AL;2704302;MACEIO;60229;G13740;PPL - CENTRO PSIQ JUD PEDRO MARINHO SURUAGY - PREDIO: PRINCIPAL
AL;2704302;MACEIO;60231;G15999;PPL - COLONIA AGROINDUSTRIAL SAO LEONARDO - CAISL - PREDIO: PRINCIPAL
PR;4113700;LONDRINA;60365;G42654;PPL - CADEIA PUBLICA FEMININA DE LONDRINA - PREDIO: PRINCIPAL
SC;4205407;FLORIANOPOLIS;60493;G16178;PPL - HOSPITAL DE CUSTODIA E TRATAMENTO PSIQUIATRICO - PREDIO: PRINCIPAL
SC;4208203;ITAJAI;60495;G13978;PPL - PRESIDIO REGIONAL DE ITAJAI - PREDIO: PRINCIPAL
SP;3511409;CERQUEIRA CESAR;60630;G18462;PPL - PENITENCIARIA DE CERQUEIRA CESAR - PREDIO: PRINCIPAL
SP;3504701;BALBINOS;60636;G13802;PPL - PENIT II DE BALBINOS - PREDIO: PRINCIPAL
SP;3516408;FRANCO DA ROCHA;60880;G13827;PPL - PENIT DE FRANCO DA ROCHA II - NILTON SILVA - PREDIO: PRINCIPAL
SP;3516408;FRANCO DA ROCHA;60882;G49096;PPL - PENITENCIARIA DE FRANCO DA ROCHA I MARIO DE MOURA - PREDIO: PRINCIPAL
AL;2704302;MACEIO;60235;G39399;PPL - UNIDADE DE INT MASCULINA DE JOVENS E ADULTOS 3 - PREDIO: PRINCIPAL
AL;2704302;MACEIO;60237;G45757;PPL - UNIDADE DE INTERNACAO MASCULINA DE JOVENS E ADULTO - PREDIO: PRINCIPAL
PB;2500601;ALHANDRA;60239;G27581;PPL - CADEIA PUBLICA DE ALHANDRA - PREDIO: PRINCIPAL
CE;2303709;CAUCAIA;60120;G27517;PPL - CASA DE PRIV PROV DE LIBER DES FCO ADALBERTO O B L - PREDIO: PRINCIPAL
MT;5100201;AGUA BOA;60124;G13983;PPL - PENIT MAJOR PM ZUZI ALVES DA SILVA - PREDIO: PRINCIPAL
PB;2507507;JOAO PESSOA;60245;G27563;PPL - PENIT MODELO DES FLOSCOLO DA NOBREGA - PREDIO: PRINCIPAL
PB;2507507;JOAO PESSOA;60244;G40252;PPL - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO RITA GADELHA - PREDIO: PRINCIPAL
PR;4108304;FOZ DO IGUACU;60381;G49181;PPL - ESCRITORIO SOCIAL DE FOZ DO IGUACU - PREDIO: PRINCIPAL
SC;4209300;LAGES;60507;G16185;PPL - CASE LAGES - PREDIO: PRINCIPAL
SP;3506003;BAURU;60648;G49154;PPL - CDP DE BAURU ESPACO II - PREDIO: PRINCIPAL
SP;3516408;FRANCO DA ROCHA;60895;G49188;PPL - PENITENCIARIA III DE FRANCO DA ROCHA ESPACO II - PREDIO: PRINCIPAL
SP;3516408;FRANCO DA ROCHA;60898;G49091;PPL - CENTRO DE DETENCAO PROVISORIA FEMININO DE FRANCO D - PREDIO: PRINCIPAL
MT;5102504;CACERES;60129;G13985;PPL - CADEIA PUBLICA DE CACERES - PREDIO: PRINCIPAL
PR;4119152;PINHAIS;60392;G13965;PPL - COMPLEXO MEDICO PENAL DO PARANA - PREDIO: PRINCIPAL
PR;4119509;PIRAQUARA;60393;G16162;PPL - COLONIA PENAL AGROINDUSTRIAL DO ESTADO PR - SEDE - PREDIO: PRINCIPAL
SC;4203006;CACADOR;60521;G16171;PPL - PRESIDIO REGIONAL DE CACADOR - PREDIO: PRINCIPAL
SP;3509106;CAIUA;60659;G49157;PPL - PENITENCIARIA DE CAIUA - PREDIO: PRINCIPAL
AM;1302603;MANAUS;60018;G13710;PPL - COMPLEXO PENIT ANISIO JOBIM - REGIME FECHADO - PREDIO: PRINCIPAL
AM;1302603;MANAUS;60022;G40952;PPL - ENFERMAGEM PSIQUIATRICA MASCULINO - PREDIO: PRINCIPAL
MT;5103403;CUIABA;60134;G42638;PPL - PENITENCIARIA CENTRAL DO ESTADO - PREDIO: PRINCIPAL
PB;2501500;BANANEIRAS;60261;G40932;PPL - CADEIA PUBLICA DE BANANEIRAS - PREDIO: PRINCIPAL
PR;4119509;PIRAQUARA;60400;G13968;PPL - CENSE SAO FRANCISCO - PREDIO: PRINCIPAL
SP;3516002;FLORIDA PAULISTA;60660;G13820;PPL - PENIT DE FLORIDA PAULISTA - PREDIO: PRINCIPAL
SP;3550308;SAO PAULO;60916;G16126;PPL - CDP II DE PINHEIROS - PREDIO: PRINCIPAL
PB;2504405;CONCEICAO;60270;G40936;PPL - CADEIA PUBLICA DE CONCEICAO - PREDIO: PRINCIPAL
PB;2510808;PATOS;60273;G15982;PPL - PENIT REGIONAL DE PATOS I - OFICIAL - PREDIO: PRINCIPAL
PR;4109401;GUARAPUAVA;60406;G30165;PPL - CADEIA PUBLICA DE GUARAPUAVA - PREDIO: PRINCIPAL
PR;4104907;CASTRO;60409;G39414;PPL - CADEIA PUBLICA DE CASTRO - PREDIO: PRINCIPAL
RJ;3304904;SAO GONCALO;60534;G18432;PPL - CRIAAD SAO GONCALO - PREDIO: PRINCIPAL
SP;3521606;IRAPURU;60674;G13844;PPL - PENITENCIARIA DE IRAPURU - PREDIO: PRINCIPAL
SP;3542602;REGISTRO;60923;G49245;PPL - PENITENCIARIA DE REGISTRO - PREDIO: PRINCIPAL
AC;1200401;RIO BRANCO;60034;G40099;PPL - CENTRO SOCIOEDUCATIVO SANTA JULIANA - PREDIO: PRINCIPAL
AC;1200401;RIO BRANCO;60040;G40225;PPL - UNIDADE DE REGIME FECHADO 1 - PREDIO: PRINCIPAL
MT;5107859;SAO FELIX DO ARAGUAIA;60156;G33285;PPL - CADEIA PUBLICA DE SAO FELIX DO ARAGUAIA - PREDIO: PRINCIPAL
PB;2500700;SAO JOAO DO RIO DO PEIXE;60278;G18408;PPL - CADEIA PUBLICA DE SAO JOAO DO RIO DO PEIXE - PREDIO: PRINCIPAL
RJ;3300704;CABO FRIO;60537;G18419;PPL - CRIAAD CABO FRIO - PREDIO: PRINCIPAL
RJ;3301702;DUQUE DE CAXIAS;60543;G18422;PPL - CRIAAD DUQUE DE CAXIAS - PREDIO: PRINCIPAL
SP;3552205;SOROCABA;60794;G13939;PPL - CDP DE SOROCABA - PREDIO: PRINCIPAL
AC;1200401;RIO BRANCO;60044;G40931;PPL - UNIDADE DE REGIME FECHADO II DE RIO BRANCO - PREDIO: PRINCIPAL
MT;5107909;SINOP;60157;G16206;PPL - PENIT DR OSVALDO FLORENTINO LEITE FERREIRA - PREDIO: PRINCIPAL
PB;2504009;CAMPINA GRANDE;60290;G15972;PPL - PENIT PADRAO REGIONAL DE CAMPINA GRANDE - OFICIAL - PREDIO: PRINCIPAL
RS;4322509;VACARIA;60423;G40208;PPL - PRESIDIO ESTADUAL DE VACARIA - PREDIO: PRINCIPAL
RJ;3304557;RIO DE JANEIRO;60549;G18429;PPL - CENTRO DE SOCIOEDUC PROF ANTONIO CARLOS G DA COSTA - PREDIO: PRINCIPAL
RJ;3304557;RIO DE JANEIRO;60551;G45771;PPL - CENTRO DE SOCIOEDUCATIVO ILHA DO GOVERNADOR - PREDIO: PRINCIPAL
MA;2101400;BALSAS;20052;F05565;REAPLICACAO - ESCOLA MUNICIPAL ELIAS ALFREDO CURY
MA;2105500;JOAO LISBOA;20058;F03201;REAPLICACAO - CENTRO DE ENSINO HENRIQUE DE LA ROQUE
MA;2101608;BARRA DO CORDA;20063;F00608;REAPLICACAO - UI MARIA LENIR ARAUJO MENEZES
MA;2109106;PRESIDENTE DUTRA;20073;F00177;REAPLICACAO - CENTRO DE ENSINO PADRE ANCHIETA
MA;2110609;SAO BERNARDO;20076;F02564;REAPLICACAO - ESCOLA MUNICIPAL MONSENHOR MAURICIO LAURENT
MA;2112209;TIMON;20088;F02305;REAPLICACAO - UEMA - UNIVERSIDADE ESTADUAL DO MARANHAO
PI;2201903;BOM JESUS;20090;F03152;REAPLICACAO - CAMPUS DOM JOSE VASQUEZ DIAZ - UESPI
PI;2207009;OEIRAS;20094;F03917;REAPLICACAO - ESCOLA MUNICIPAL JUAREZ TAPETY
BA;2928802;SANTO ESTEVAO;20152;F02362;REAPLICACAO - COLEGIO ESTADUAL POLIVALENTE
BA;2923407;PALMAS DE MONTE ALTO;20156;F00676;REAPLICACAO - COLEGIO MUNICIPAL ELIZA TEIXEIRA DE MOURA
PI;2203701;ESPERANTINA;20105;F03699;REAPLICACAO - CETI JOSE NOGUEIRA DE AGUIAR
PI;2206407;MONSENHOR GIL;20107;F03261;REAPLICACAO - UNIDADE ESCOLAR DR. NORONHA FILHO
BA;2907509;CATU;20133;F00518;REAPLICACAO - INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA BAIANO - IFBAIANO
BA;2902807;BARRA DA ESTIVA;20137;F01449;REAPLICACAO - COLEGIO MUNICIPAL PE. VERGILIO ZOPPI
MG;3143302;MONTES CLAROS;70264;G8887;REAPLICACAO - EE FELICIO PEREIRA DE ARAUJO - PREDIO: PRINCIPAL
PR;4101408;APUCARANA;70265;G1932;REAPLICACAO - CE ALBERTO SANTOS DUMONT - PREDIO: A
PR;4101903;ASSAI;70268;G31532;REAPLICACAO - CEEP PROFA MARIA LYDIA CESCATO BOMTEMPO - PREDIO: TERR -1ANDAR
PR;4102406;BANDEIRANTES;70269;G20221;REAPLICACAO - UNOPAR - UNIVERSIDADE PITAGORAS - PREDIO: 05
RJ;3300407;BARRA MANSA;70346;G4898;REAPLICACAO - CEI VIEIRA DA SILVA - PREDIO: UNICO
SP;3526704;LEME;70484;G4508;REAPLICACAO - CENTRO UNIV ANHANGUERA - LEME - PREDIO: A
MG;3121605;DIAMANTINA;20342;F03828;REAPLICACAO - ESCOLA ESTADUAL PROFESSORA AYNA TORRES
MG;3103405;ARACUAI;20339;F03436;REAPLICACAO - ESCOLA ESTADUAL INDUSTRIAL SAO JOSE
MG;3128006;GUANHAES;20344;F03046;REAPLICACAO - ESCOLA ESTADUAL ODILON BEHRENS
MG;3143104;MONTE CARMELO;20348;F00343;REAPLICACAO - FUNDACAO CARMELITANA MARIO PALMERIO
MG;3169356;TRES MARIAS;20349;F05211;REAPLICACAO - ESCOLA MUNICIPAL VEREADOR CARLINDO NASCIMENTO GAIA
MG;3162708;SAO JOAO DO PARAISO;20352;F00140;REAPLICACAO - ESCOLA ESTADUAL PROFESSORA DORA BARBOSA
MG;3155603;RIO PARDO DE MINAS;20353;F05105;REAPLICACAO - ESCOLA ESTADUAL JOSE CRISTIANO
MG;3135100;JANAUBA;20354;F04678;REAPLICACAO - ESCOLA ESTADUAL JOSE GORUTUBA
MG;3107307;BOCAIUVA;20356;F04632;REAPLICACAO - ESCOLA ESTADUAL PROFESSOR GASTAO VALLE
SE;2803500;LAGARTO;70082;G25301;REAPLICACAO - EM FREI CRISTOVAO DE SANTO HILARIO - PREDIO: 01
SE;2805703;PROPRIA;70087;G34045;REAPLICACAO - CE JOANA DE FREITAS BARBOSA - PREDIO: 1
TO;1702109;ARAGUAINA;70121;G368;REAPLICACAO - CEM PAULO FREIRE - PREDIO: I
TO;1721000;PALMAS;70124;G661;REAPLICACAO - CEM SANTA RITA DE CASSIA - PREDIO: II
TO;1721208;TOCANTINOPOLIS;70130;G376;REAPLICACAO - CE DOM ORIONE - PREDIO: I
PR;4107207;DOIS VIZINHOS;70290;G2133;REAPLICACAO - CE LEONARDO DA VINCI - PREDIO: A
PR;4105805;COLOMBO;70295;G14759;REAPLICACAO - FAC EDUCACAO DE COLOMBO - FAEC - PREDIO: 1
PE;2614600;TABIRA;70351;G1348;REAPLICACAO - EE PROFA CARLOTA BRECKENFELD - PREDIO: PRINCIPAL
MG;3144102;MUZAMBINHO;20367;F00749;REAPLICACAO - E.E.PROFESSOR SALATIEL DE ALMEIDA
MG;3115508;CAXAMBU;20371;F03038;REAPLICACAO - E.E. RUTH MARTINS DE ALMEIDA
CE;2309805;PACOTI;70134;G17486;REAPLICACAO - EMEF SAO LUIS - PREDIO: PRINCIPAL
CE;2302503;BREJO SANTO;70136;G29075;REAPLICACAO - UFCA - CAMPUS DE BREJO SANTO - PREDIO: 1
PE;2614501;SURUBIM;70358;G3127;REAPLICACAO - EE SEVERINO FARIAS - PREDIO: BLOCO I
PE;2611606;RECIFE;70366;G2546;REAPLICACAO - EREM CLOVIS BEVILAQUA - PREDIO: PRINCIPAL
SP;3550605;SAO ROQUE;70499;G40288;REAPLICACAO - EMEF PROFA MARIA JOSE FERRAZ SCHOENACKER - PREDIO: PRINCIPAL
SP;3505500;BARRETOS;70505;G18089;REAPLICACAO - FAC BARRETOS - PREDIO: UNICO
SP;3517406;GUAIRA;70506;G11081;REAPLICACAO - EMEF PROFA MARIA AUXILIADORA LELIS ALVES - PREDIO: 1
